#d=4 K=4 warmup=32 tail=8
round,bit,lat_cycles
0,1,108
1,1,108
2,0,108
3,1,108
4,1,108
5,1,108
6,1,108
7,0,108
8,1,108
9,0,108
10,1,108
11,0,108
12,1,108
13,1,108
14,0,108
15,1,108
16,1,108
17,0,108
18,1,108
19,1,108
20,1,108
21,1,108
22,1,108
23,0,108
24,1,108
25,1,108
26,1,108
27,0,108
28,1,108
29,1,108
30,1,108
31,1,108
32,1,108
33,1,108
34,0,108
35,0,108
36,1,108
37,0,108
38,1,108
39,0,108
40,1,108
41,1,108
42,1,108
43,1,108
44,1,108
45,1,108
46,1,108
47,0,108
48,1,108
49,0,108
50,1,108
51,1,108
52,1,108
53,0,108
54,1,108
55,0,108
56,1,108
57,0,108
58,1,108
59,1,108
60,1,108
61,1,108
62,1,108
63,0,116
